Control_ID,Control_Title,Control_Description,Category,Subcategory,Level_1_Maturity,Level_2_Maturity,Level_3_Maturity,Level_4_Maturity
GV.RR-03,Roles, Resp, Auth,"Adequate resources are allocated commensurate with cybersecurity risk strategy, roles, responsibilities, and policies",Govern,Roles and Responsibilities,Security resourced through IT budget leftovers. Staffing based on incidents not risk. Critical capabilities missing.,Annual budget process includes security but often underfunded. Some dedicated security staff but skills gaps remain.,Risk-based resource allocation with clear business cases. Appropriate mix of people/process/technology. Regular capability assessments.,Predictive resource planning based on threat trends. Automated budget optimization. Real-time resource allocation to emerging risks.
GV.RR-04,Roles, Resp, Auth,Cybersecurity is included in human resources practices,Govern,Roles and Responsibilities,Risk ownership unclear. Business assumes IT owns all risks. No formal assignment process. Orphaned risks common.,Risk owners assigned for major risks but accountability weak. Annual attestation process exists but compliance poor.,All risks have designated owners with clear accountability. Regular risk owner training. Performance metrics include risk management effectiveness.,Intelligent risk assignment based on competency matching. Automated succession planning for risk owners. Real-time risk ownership dashboards.
GV.PO-01,Policy,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",Govern,Policy,No formal security policy or severely outdated document. Policy development happens after incidents. No regular review cycle.,Basic security policy exists covering main topics. Annual review scheduled but updates infrequent. Generic content not tailored to organization.,Comprehensive policy framework aligned with standards like ISO 27001. Regular review cycle with stakeholder input. Version control and approval workflows.,Living policy framework updates dynamically with environmental changes. AI assists policy optimization. Automated policy impact analysis.
GV.PO-02,Policy,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",Govern,Policy,Policy buried on intranet. No active communication. New employees might receive copy. Updates not announced. Awareness near zero.,Annual policy acknowledgment campaigns. Email reminders and posters. Basic tracking of acknowledgments but understanding not verified.,Multi-modal policy communication strategy. Role-based training on relevant policies. Regular reinforcement through varied channels. Comprehension testing.,Intelligent policy delivery adapted to learning styles. Just-in-time policy reminders. Natural language policy chatbots. Continuous effectiveness measurement.
GV.OV-01,Oversight,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Govern,Oversight,No formal oversight of risk activities. Management assumes controls are working. Reviews only after failures. Oversight ad hoc.,Quarterly management reviews of risk metrics. Board receives annual updates. Limited validation of reported information. Reactive oversight.,Structured oversight framework with board and executive engagement. Independent validation of risk information. Proactive oversight activities.,Real-time risk oversight dashboards with drill-down capabilities. Automated anomaly detection in risk metrics. Predictive oversight indicators.
GV.OV-02,Oversight,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Govern,Oversight,No security metrics collected. Success equals absence of major incidents. Performance measurement not prioritized. Flying blind.,Basic technical metrics collected (patch levels. AV updates). Limited business relevance. Manual collection with accuracy issues.,Balanced scorecard approach with technical and business metrics. Automated collection ensures accuracy. Regular trending and analysis.,Advanced analytics correlate security metrics with business outcomes. Real-time KPI monitoring. Predictive performance indicators guide investments.
GV.OV-03,Oversight,Organizational cybersecurity risk management performance is measured and reviewed to confirm and adjust strategic direction,Govern,Oversight,No regular review process. Validation only during external audits. Self-assessments rare. Practices drift from intentions.,Annual security assessments focus on compliance. Some internal audits but limited scope. Findings often not remediated timely.,Comprehensive assurance program including internal/external reviews. Risk-based audit planning. Findings tracked to closure with verification.,Continuous assurance through automated testing. Real-time control effectiveness monitoring. Predictive analytics identify control degradation.
GV.SC-01,Supply Chain Risk,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",Govern,Cybersecurity Supply Chain Risk Management,Supply chain security not considered. Vendor risks unknown. No requirements for suppliers. Issues discovered after impact.,Basic vendor security questionnaires for large contracts. Limited validation of responses. Focus on SLAs not security.,Comprehensive SCRM program with vendor tiers and requirements. Regular assessments and audits. Clear security terms in contracts.,Real-time supply chain threat intelligence. Automated vendor risk monitoring. Predictive analytics for supply chain disruptions.
GV.SC-02,Supply Chain Risk,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",Govern,Cybersecurity Supply Chain Risk Management,Contracts lack security clauses. Standard terms don't address cyber risks. Security requirements added reactively after incidents.,Boilerplate security language in some contracts. Requirements generic and not risk-based. Limited enforcement mechanisms.,Risk-based security requirements tailored to supplier criticality. Clear SLAs and remediation timelines. Regular contract reviews for currency.,Dynamic contract terms adjust to threat landscape. Automated compliance verification. Smart contracts enforce security requirements.
GV.SC-03,Supply Chain Risk,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",Govern,Cybersecurity Supply Chain Risk Management,No pre-contract security assessments. Supplier security assumed. Due diligence focuses on financial/operational factors only.,Security questionnaires for some new vendors. Limited verification of responses. Assessment depth doesn't match risk levels.,Risk-based assessment methodology for all critical suppliers. On-site assessments for high-risk vendors. Clear go/no-go criteria.,Continuous supplier assessment using multiple data sources. AI-enhanced due diligence. Real-time risk scoring influences procurement.
GV.SC-04,Supply Chain Risk,Suppliers are known and prioritized by criticality,Govern,Cybersecurity Supply Chain Risk Management,Supplier risks only addressed after incidents. No proactive identification. Response is typically contract termination. Learning minimal.,Annual risk reviews identify some supplier issues. Basic remediation plans but follow-through weak. Limited alternative suppliers identified.,Comprehensive supplier risk register with response strategies. Regular tabletop exercises test responses. Alternative suppliers pre-qualified.,Automated supplier risk detection and response. Predictive modeling prevents issues. Dynamic supplier portfolio optimization.
GV.SC-05,Supply Chain Risk,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Govern,Cybersecurity Supply Chain Risk Management,No specific plans for supply chain incidents. Each event handled differently. Poor coordination with suppliers during incidents.,Basic notification procedures for supplier incidents. Some coordination attempted but roles unclear. Lessons rarely captured.,Integrated incident response includes supplier-specific playbooks. Clear communication protocols. Regular drills with critical suppliers.,Automated supply chain incident orchestration. Real-time visibility across extended enterprise. AI-guided response optimization.
GV.SC-06,Supply Chain Risk,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Govern,Cybersecurity Supply Chain Risk Management,No review of supply chain security effectiveness. Improvements only after major failures. Supplier feedback not solicited.,Annual reviews focus on SLA compliance not security improvement. Some supplier feedback collected but rarely actioned.,Structured improvement program with supplier collaboration. Regular effectiveness reviews. Best practices shared across supply base.,AI identifies improvement opportunities across supply network. Automated implementation of validated improvements. Continuous optimization cycles.
GV.SC-07,Supply Chain Risk,"The risks posed by a supplier, their products and services, and other third parties are identified, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",Govern,Cybersecurity Supply Chain Risk Management,No communication of security expectations to suppliers. Risk information not shared. Suppliers operate in information vacuum.,Basic security requirements sent to new vendors. Annual reminders about policies. Limited two-way communication. Risk sharing minimal.,Comprehensive communication strategy for supply chain. Regular forums for risk discussions. Clear channels for threat intelligence sharing.,Real-time threat intelligence sharing platform. Automated alert distribution. Natural language processing enables seamless communication.
GV.SC-08,Supply Chain Risk,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",Govern,Cybersecurity Supply Chain Risk Management,Single supplier dependencies unknown. No consideration of concentration risk. Resilience planning absent. Surprises during disruptions.,Some awareness of critical single suppliers. Limited efforts to diversify. Resilience considerations ad hoc not systematic.,Documented supplier concentration limits. Active diversification for critical services. Resilience requirements in RFPs.,Dynamic supplier portfolio optimization. Real-time resilience scoring. Automated rebalancing based on risk concentrations.
GV.SC-09,Supply Chain Risk,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",Govern,Cybersecurity Supply Chain Risk Management,No visibility into supplier security practices. Security treated as supplier's internal matter. Transparency not requested or expected.,Annual attestations requested but detail minimal. Some right-to-audit clauses but rarely exercised. Transparency varies widely.,Clear transparency requirements in contracts. Regular security posture reporting. Audit rights exercised based on risk.,Continuous security telemetry from suppliers. Real-time dashboards show supplier security posture. Blockchain-verified security attestations.
GV.SC-10,Supply Chain Risk,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Govern,Cybersecurity Supply Chain Risk Management,No awareness of software supply chain. Dependencies unknown. SBOM concept unfamiliar. Vulnerabilities in components surprise.,Basic software inventory but component level detail missing. Some SBOM collection for critical applications. Limited vulnerability tracking.,Comprehensive SBOM requirements for all software. Regular dependency scanning. Clear component vulnerability response processes.,Automated SBOM generation and analysis. Real-time component vulnerability alerts. AI-powered dependency risk assessment.
ID.AM-01,Asset Mgmt,Inventories of hardware managed by the organization are maintained,Identify,Asset Management,Asset tracking relies on spreadsheets and tribal knowledge. No central repository. Many assets undocumented. Discovery happens during failures.,Basic CMDB exists but accuracy questionable. Annual reconciliation attempts find major gaps. Automated discovery covers some infrastructure.,Comprehensive asset inventory with automated discovery and manual validation. Regular reconciliation achieves 95%+ accuracy. Clear ownership model.,Real-time asset state awareness through continuous discovery. Predictive lifecycle management. Automated compliance validation.
ID.AM-02,Asset Mgmt,"Inventories of software, services, and systems managed by the organization are maintained",Identify,Asset Management,No comprehensive software inventory. Licensing compliance unknown. Shadow IT prevalent. Software sprawl uncontrolled.,Software inventory tools deployed for managed devices. Some application discovery but coverage gaps exist. License tracking attempted.,Complete software inventory across all platforms. Automated discovery supplemented by procurement integration. License optimization active.,Continuous software discovery with behavioral analysis. AI identifies unauthorized software. Predictive license management.
ID.AM-03,Asset Mgmt,Representations of the organization's authorized network communication and internal and external network data flows are maintained,Identify,Asset Management,Data locations unknown. No classification scheme. Sensitive data could be anywhere. Data flows undocumented. Privacy compliance impossible.,Basic data classification policy exists. Some critical databases identified. Limited understanding of data flows. Manual mapping attempts outdated.,Comprehensive data catalog with classification and ownership. Data flow diagrams maintained. Privacy requirements mapped to data locations.,Real-time data discovery and classification. Automated data lineage tracking. AI-powered sensitive data identification.
ID.AM-04,Asset Mgmt,Inventories of services provided by suppliers are maintained,Identify,Asset Management,No inventory of external connections. Cloud services used without oversight. API integrations undocumented. External dependencies unknown.,List of approved cloud services exists. Some documentation of external APIs. Shadow IT discovery finds unauthorized services regularly.,Complete catalog of external systems with risk ratings. Regular discovery scans identify new connections. Clear approval process for external services.,Continuous external service monitoring. Real-time risk scoring of external dependencies. Automated policy enforcement for connections.
ID.AM-05,Asset Mgmt,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",Identify,Asset Management,All assets treated equally. No criticality assessment. Protection not aligned with value. Resource allocation inefficient.,Basic criticality ratings (high/medium/low) assigned inconsistently. Some consideration in security investments. Prioritization subjective.,Comprehensive criticality framework considering multiple factors. Regular reviews ensure accuracy. Security controls aligned with criticality.,Dynamic criticality scoring based on business context. Automated control optimization by asset value. Real-time priority adjustments.
ID.AM-07,Asset Mgmt,Inventories of data and corresponding metadata for designated data types are maintained,Identify,Asset Management,No data inventory exists. Data types and locations unknown. Metadata not captured. Data governance non-existent.,Basic inventory of major databases. Limited metadata collection. Manual processes lead to outdated information. Coverage gaps significant.,Comprehensive data inventory with automated discovery. Metadata standards enforced. Regular validation ensures accuracy. Clear data ownership.,Real-time data cataloging with automatic metadata extraction. AI-powered data classification. Continuous compliance monitoring.
ID.AM-08,Asset Mgmt,"Systems, hardware, software, services, and data are managed throughout their lifecycle",Identify,Asset Management,Assets run until failure. No lifecycle planning. End-of-life equipment common. Disposal ad hoc. Security updates sporadic.,Basic lifecycle tracking for some assets. Refresh cycles defined but not always followed. Some patch management exists.,Comprehensive lifecycle management from procurement to disposal. Regular refresh based on risk and support. Automated patch deployment.,Predictive lifecycle optimization. Automated refresh planning. Self-maintaining infrastructure with continuous updates.
ID.RA-01,Risk Assessment,"Vulnerabilities in assets are identified, validated, and recorded",Identify,Risk Assessment,Vulnerabilities discovered by attackers. No proactive scanning. Patch status unknown. Security posture based on hope.,Monthly vulnerability scans of some systems. Critical patches applied eventually. Many false positives reduce trust in results.,Comprehensive vulnerability management program. Regular authenticated scanning. Clear SLAs for remediation. False positive management.,Continuous vulnerability assessment with threat intelligence integration. Predictive vulnerability scoring. Automated remediation workflows.
ID.RA-02,Risk Assessment,Cyber threat intelligence is received from information sharing forums and sources,Identify,Risk Assessment,No threat intelligence program. Security team unaware of current threats. Reactive to public breaches. No information sharing.,Basic threat feeds consumed but not actioned. Some ISAC participation. Limited internal distribution of threat information.,Comprehensive threat intelligence program with multiple sources. Regular analysis and distribution. Active information sharing participation.,Real-time threat intelligence correlation with environment. Automated threat hunting based on intelligence. Predictive threat modeling.
ID.RA-03,Risk Assessment,Internal and external threats to the organization are identified and recorded,Identify,Risk Assessment,Risks identified only after they materialize. No proactive risk identification. Risk register nonexistent or severely outdated.,Annual risk assessment identifies major risks. Risk register maintained in spreadsheet. Updates infrequent. Coverage gaps exist.,Continuous risk identification through multiple methods. Comprehensive risk register with regular updates. Clear risk ownership model.,AI-enhanced risk discovery. Real-time risk scoring. Predictive risk identification before materialization.
ID.RA-04,Risk Assessment,Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,Identify,Risk Assessment,Risk prioritization based on latest incident. No consistent methodology. Resources misaligned with actual risks. Subjective assessments.,Basic risk matrix used for prioritization. Annual reviews of risk rankings. Some quantitative analysis attempted. Prioritization sometimes arbitrary.,Standardized risk scoring methodology. Regular reprioritization based on changing conditions. Clear resource alignment with priorities.,Dynamic risk prioritization with real-time updates. ML-based impact and likelihood assessment. Automated resource optimization.
ID.RA-05,Risk Assessment,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",Identify,Risk Assessment,Business impact unknown until outages occur. IT-centric view of impact. No documented dependencies. Recovery priorities unclear.,Basic BIA conducted for major systems. Focus on availability impacts. Some business input but analysis incomplete.,Comprehensive BIA covering all critical processes. Multiple impact types assessed. Regular updates reflect business changes.,Real-time impact modeling. Predictive impact analysis for proposed changes. Dynamic dependency mapping.
ID.RA-06,Risk Assessment,"Risk responses are chosen, prioritized, planned, tracked, and communicated",Identify,Risk Assessment,Risk response limited to patching and prayer. No evaluation of options. Most risks accepted by default. Effectiveness unmeasured.,Basic risk treatment for high risks. Some documentation of decisions. Limited tracking of implementation success.,Comprehensive risk response framework. Cost-benefit analysis drives decisions. Implementation tracked with effectiveness metrics.,AI-optimized risk response selection. Automated implementation where feasible. Continuous effectiveness monitoring and adjustment.
ID.RA-07,Risk Assessment,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",Identify,Risk Assessment,Supply chain risks ignored until they impact operations. No visibility beyond tier 1. Dependency risks unknown.,Basic questionnaires for critical suppliers. Annual assessments of some vendors. Focus on availability not security.,Comprehensive multi-tier supply chain risk assessment. Regular updates based on threat landscape. Clear risk scoring methodology.,Real-time supply chain risk monitoring. Predictive analytics for disruption. N-tier visibility with automated assessments.
ID.RA-08,Risk Assessment,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established",Identify,Risk Assessment,Cybersecurity treated as technical issue only. Business risk connection missing. Mission impact not considered in risk assessments.,Some attempts to link cyber risks to business impact. Analysis often superficial. Limited business stakeholder involvement.,Clear framework connecting cyber risks to mission impacts. Regular business stakeholder engagement. Quantified risk assessments.,Advanced modeling of cyber-to-business risk propagation. Real-time business risk dashboards. Predictive business impact analytics.
ID.RA-09,Risk Assessment,The authenticity and integrity of hardware and software are assessed prior to acquisition and use,Identify,Risk Assessment,Risk register updated only for audits. Information stale. New risks not added. Changes in environment not reflected.,Quarterly risk register reviews scheduled. Some interim updates for major changes. Manual process leads to delays.,Defined triggers for risk register updates. Change management integrated with risk processes. Regular validation of currency.,Continuous risk register synchronization with environment. Automated updates from multiple sources. Real-time risk state awareness.
ID.RA-10,Risk Assessment,Critical suppliers are assessed prior to acquisition,Identify,Risk Assessment,No assessment of critical suppliers before engagement. Vendor selection based on cost alone. Security an afterthought.,Basic security questionnaires for some vendors. Limited due diligence. Assessment results rarely influence decisions.,Comprehensive pre-acquisition assessment for all critical suppliers. Risk-based evaluation criteria. Go/no-go decisions based on security posture.,Continuous supplier assessment with real-time scoring. Predictive risk analytics inform procurement. Automated due diligence processes.
ID.IM-01,Improvement,Improvements are identified from evaluations,Identify,Improvement,No formal improvement planning. Reactive fixes only. Lessons not captured. Improvement accidental not intentional.,Annual security improvement planning. Some post-incident improvements. Limited tracking of implementation success.,Comprehensive improvement program with multiple inputs. Clear prioritization based on risk reduction. Strong implementation tracking.,AI-driven improvement recommendations. Predictive impact analysis of improvements. Automated implementation pipelines.
ID.IM-02,Improvement,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",Identify,Improvement,Security program static. Updates only during audits. Improvements not incorporated. Program degrades over time.,Annual program reviews with some updates. Implementation of improvements inconsistent. Version control weak.,Regular security program updates based on improvement cycles. Clear change management. Stakeholder communication of updates.,Continuous program evolution. Automated update workflows. Real-time program effectiveness monitoring.
ID.IM-03,Improvement,"Improvements are identified from execution of operational processes, procedures, and activities",Identify,Improvement,No stakeholder feedback mechanisms. Security operates in isolation. Business needs ignored. Satisfaction unknown.,Annual security survey with low response rates. Limited action on feedback. Some informal feedback channels exist.,Structured feedback collection through multiple channels. Regular analysis and response. Clear communication of actions taken.,Real-time sentiment analysis. Automated feedback categorization and routing. Predictive satisfaction modeling.
ID.IM-04,Improvement,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",Identify,Improvement,No incident response plan exists. Each incident handled differently. Plans created during crisis. No maintenance or improvement process.,Basic incident response plan exists but rarely updated. Limited communication of procedures. Improvement happens after major incidents only.,Comprehensive incident response and operational plans with regular updates. Clear communication and training. Continuous improvement from exercises and incidents.,Dynamic response plans that adapt to threat landscape. Automated plan maintenance. Real-time effectiveness tracking with continuous optimization.
PR.AA-01,Identity Mgt,"Identities and credentials for authorized users, services, and hardware are managed by the organization",Protect,Identity Management and Access Control,Shared accounts prevalent. Password management ad hoc. No central identity store. Orphaned accounts common. Credential hygiene poor.,Basic directory service with password policy. Some service account management. Manual provisioning prone to errors. Periodic cleanup attempts.,Centralized identity management with strong authentication. Automated provisioning/deprovisioning. Regular access reviews. Service account governance.,Adaptive authentication based on risk. Passwordless authentication prevalent. Continuous access verification. Self-managing identities.
PR.AA-02,Identity Mgt,Identities are proofed and bound to credentials based on the context of interactions,Protect,Identity Management and Access Control,No identity proofing process. Credentials issued without verification. Context ignored in authentication. Identity fraud common.,Basic identity verification for employees only. Limited context consideration. Manual processes prone to error. Inconsistent application.,Comprehensive identity proofing with multi-factor verification. Context-aware credential binding. Risk-based authentication requirements.,Dynamic identity proofing adjusts to risk context. Continuous identity verification. Biometric and behavioral authentication integrated.
PR.AA-03,Identity Mgt,"Users, services, and hardware are authenticated",Protect,Identity Management and Access Control,Authentication weak or missing. Default credentials common. Service accounts use static passwords. Hardware authentication non-existent.,Password-based authentication standard. Some MFA for privileged users. Service authentication inconsistent. Hardware tokens for critical systems only.,Strong authentication for all entities. Risk-based MFA deployment. Certificate-based service authentication. Hardware attestation implemented.,Continuous authentication using multiple factors. Passwordless authentication prevalent. Zero-trust verification for all connections.
PR.AA-04,Identity Mgt,"Identity assertions are protected, conveyed, and verified",Protect,Identity Management and Access Control,Identity assertions unprotected. No verification of claims. Token theft common. Man-in-the-middle attacks successful.,Basic protection of authentication tokens. Limited assertion verification. Some encryption of identity data. Replay attacks possible.,Comprehensive protection of identity assertions. Strong cryptographic verification. Secure token handling. Anti-replay mechanisms.,Advanced cryptographic protection of all assertions. Real-time verification with fraud detection. Quantum-resistant identity protocols.
PR.AA-05,Identity Mgt,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",Protect,Identity Management and Access Control,Excessive permissions everywhere. No least privilege concept. Everyone has admin rights. Separation of duties ignored.,Basic role definitions exist. Some effort to reduce admin accounts. Annual access reviews identify issues. Implementation inconsistent.,Comprehensive RBAC with least privilege enforcement. Regular access reviews and certification. Clear SoD controls with monitoring.,Dynamic permissions based on context. Just-in-time privilege elevation. Automated SoD conflict detection and prevention.
PR.AA-06,Identity Mgt,"Physical access to assets is managed, monitored, and enforced commensurate with risk",Protect,Identity Management and Access Control,Physical security minimal. Shared access codes. No integration with cyber security. Unrestricted access to sensitive areas.,Badge system for building entry. Limited access controls for sensitive areas. Some visitor management. Logs rarely reviewed.,Comprehensive physical access controls integrated with logical security. Role-based physical access. Regular access reviews and updates.,Biometric multi-factor physical authentication. Real-time correlation with cyber events. Predictive insider threat detection.
PR.AT-01,Awareness and Training,Personnel are provided awareness and training so thay they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,Protect,Awareness and Training,No formal security training. Awareness near zero. Security not part of culture. Training viewed as overhead.,Annual security training required. Generic content. Completion tracked not comprehension. Limited role-specific content.,Comprehensive awareness program with engaging content. Role-based training paths. Regular reinforcement. Effectiveness measured.,Adaptive micro-learning based on behavior. Just-in-time training delivery. Gamification drives engagement. Real culture change.
